client_file,depends_on,note
animatedtext.cpp,map.h,Używa `g_map` do usuwania obiektu `AnimatedText` po zakończeniu animacji.
animatedtext.cpp,game.h,"Używa `g_game` do sprawdzania, czy funkcja `GameDiagonalAnimatedText` jest włączona."
animatedtext.cpp,framework/core/clock.h,Używa `g_clock` do pomiaru czasu animacji.
animatedtext.cpp,framework/core/eventdispatcher.h,Używa `g_dispatcher` do planowania usunięcia obiektu.
animatedtext.cpp,framework/graphics/graphics.h,Używa `g_fonts` do zarządzania czcionkami.
houses.h,declarations.h,"Definicje typów wskaźników, takich jak `HousePtr` i `TilePtr`."
houses.h,tile.h,Używa obiektów `Tile` do określenia obszaru domu.
houses.h,item.h,"Zarządza drzwiami, które są obiektami typu `Item`."
houses.h,framework/luaengine/luaobject.h,Klasy są eksponowane do Lua.
animatedtext.h,thing.h,Klasa bazowa.
animatedtext.h,framework/graphics/fontmanager.h,Zarządzanie czcionkami.
animatedtext.h,framework/core/timer.h,Pomiar czasu animacji.
animatedtext.h,framework/graphics/cachedtext.h,Efektywne renderowanie tekstu.
animator.h,declarations.h,Definicje typów.
animator.h,framework/core/timer.h,Używane do pomiaru czasu i synchronizacji animacji.
animator.cpp,framework/core/clock.h,Używa `g_clock` do synchronizacji animacji.
animator.cpp,framework/core/filestream.h,Do operacji serializacji/deserializacji.
client.cpp,game.h,Inicjalizuje i zamyka `g_game`.
client.cpp,map.h,Inicjalizuje i zamyka `g_map`.
client.cpp,minimap.h,Inicjalizuje i zamyka `g_minimap`.
client.cpp,spritemanager.h,Pośrednio zarządza `g_sprites` poprzez `g_things`.
client.cpp,healthbars.h,Inicjalizuje i zamyka `g_healthBars`.
client.cpp,framework/core/modulemanager.h,Używane do zarządzania modułami.
client.cpp,framework/graphics/shadermanager.h,Inicjalizuje i zamyka `g_shaders`.
client.h,global.h,Zawiera podstawowe definicje i stałe używane w kliencie.
container.cpp,item.h,Zarządza obiektami typu `Item`.
container.cpp,framework/luaengine/luaobject.h,"Dziedziczy po `LuaObject`, aby umożliwić interakcję z Lua."
creature.cpp,localplayer.h,Logika rysowania informacji o pasku many jest specyficzna dla lokalnego gracza.
creature.cpp,game.h,Dostęp do globalnych ustawień gry i funkcji serwera.
creature.cpp,lightview.h,Dodawanie dynamicznego światła emitowanego przez postać.
creature.cpp,healthbars.h,Używa `g_healthBars` do pobierania niestandardowych teł dla pasków życia/many.
creature.cpp,spritemanager.h,Używa `g_sprites` do pobierania rozmiaru sprite'ów.
container.h,declarations.h,"Definicje typów, np. `ItemPtr`."
container.h,item.h,Przechowuje obiekty `Item`.
container.h,game.h,"Klasa `Game` jest przyjacielem, co pozwala jej wywoływać chronione metody `onOpen`, `onClose`, etc."
creature.h,thing.h,Klasa bazowa.
creature.h,outfit.h,Używa `Outfit` do zarządzania wyglądem.
creature.h,tile.h,Interakcje z polami mapy.
creature.h,mapview.h,Używana do rysowania w kontekście widoku mapy.
creature.h,framework/ui/uiwidget.h,Dołączanie widżetów do postaci.
creatures.h,creature.h,`CreatureType::cast()` tworzy obiekty `Creature`.
declarations.h,global.h,Dołącza podstawowe definicje.
creatures.cpp,map.h,Dodaje i usuwa stworzenia z mapy (`g_map`).
creatures.cpp,creature.h,Tworzy instancje `Creature`.
creatures.cpp,framework/xml/tinyxml.h,Używane do parsowania plików XML.
creatures.cpp,framework/core/resourcemanager.h,Do odczytu plików z danymi.
effect.cpp,map.h,Używa `g_map` do usunięcia efektu po zakończeniu animacji.
effect.cpp,game.h,"Sprawdza, czy włączona jest funkcja `GameEnhancedAnimations`."
effect.cpp,framework/core/eventdispatcher.h,Używa `g_dispatcher` do planowania usunięcia.
effect.h,thing.h,Klasa bazowa.
effect.h,framework/core/timer.h,Używa `Timer` do śledzenia postępu animacji.
healthbars.cpp,framework/graphics/texturemanager.h,Używa `g_textures` do ładowania grafik.
healthbars.cpp,creature.cpp,Logika rysowania informacji o postaci (`drawInformation`) używa `g_healthBars` do pobierania niestandardowych teł pasków.
game.h,declarations.h,"Używa wielu zadeklarowanych typów (`ItemPtr`, `CreaturePtr`, etc.)."
game.h,protocolgame.h,Ściśle powiązana z protokołem sieciowym.
game.h,localplayer.h,Zarządza instancją `LocalPlayer`.
game.h,container.h,Zarządza kolekcją otwartych kontenerów.
healthbars.h,declarations.h,Podstawowe definicje.
healthbars.h,framework/graphics/declarations.h,"Deklaracje typów graficznych, np. `TexturePtr`."
houses.cpp,map.h,Interakcje z obiektami `Tile` (`tile->setFlag(...)`).
houses.cpp,framework/core/resourcemanager.h,Do odczytu plików XML z danymi domów.
item.cpp,thingtypemanager.h,Używa `g_things` do uzyskiwania informacji o typach przedmiotów.
item.cpp,spritemanager.h,Używa `g_sprites` do pobierania danych o sprite'ach.
item.cpp,game.h,Używa `g_game` do sprawdzania funkcji serwera (np. `GameNewFluids`).
item.cpp,tile.h,"Interakcje z polem, na którym leży przedmiot (np. do określenia, jak zawiesić przedmiot)."
itemtype.cpp,thingtypemanager.h,"Jest ściśle powiązana z `ThingTypeManager`, który zarządza wszystkimi typami przedmiotów i wywołuje `unserialize`."
itemtype.cpp,game.h,"Używa `g_game` do sprawdzania wersji klienta, co wpływa na logikę parsowania."
itemtype.cpp,framework/core/binarytree.h,Używa `BinaryTree` do odczytu danych z formatu OTB.
item.h,thing.h,Klasa bazowa.
item.h,itemtype.h,Każdy `Item` jest instancją jakiegoś `ItemType`.
itemtype.h,framework/luaengine/luaobject.h,"Dziedziczy z `LuaObject`, aby być dostępnym z Lua."
itemtype.h,framework/xml/tinyxml.h,Używane do parsowania dodatkowych danych z `items.xml`.
lightview.cpp,spritemanager.h,Używa `g_sprites.spriteSize()` do obliczeń związanych z rozmiarami pól.
lightview.cpp,framework/graphics/painter.h,Używa `g_painter` do rysowania finalnej tekstury światła.
lightview.h,declarations.h,Definicje typów.
lightview.h,thingtype.h,Używa struktury `Light` zdefiniowanej w `thingtype.h`.
lightview.h,framework/graphics/drawqueue.h,Jest elementem kolejki rysowania.
localplayer.cpp,game.h,Do komunikacji z serwerem i zatrzymywania akcji gry.
localplayer.cpp,framework/core/eventdispatcher.h,Do planowania ponownych prób auto-walkingu.
map.cpp,game.h,"Dostęp do stanu gry, np. funkcji serwera (`GameFeature`)."
map.cpp,localplayer.h,Do centrowania kamery i aktualizacji pozycji gracza.
map.cpp,tile.h,Zarządza obiektami `Tile`.
map.cpp,mapview.h,Powiadamia `MapView` o zmianach.
map.cpp,minimap.h,Aktualizuje minimapę przy zmianach na polach.
luavaluecasts_client.h,framework/luaengine/declarations.h,Deklaracje funkcji z silnika Lua.
luavaluecasts_client.h,luavaluecasts_client.cpp,Zawiera implementacje tych funkcji.
mapio.cpp,game.h,"Używa `g_game` do sprawdzania funkcji serwera, które mogą wpływać na sposób parsowania."
luavaluecasts_client.cpp,framework/luaengine/luainterface.h,Dostęp do funkcji `g_lua` do manipulacji stosem Lua.
luavaluecasts_client.cpp,game.h,"Używa `g_game` do sprawdzania, które `GameFeature` są aktywne, co wpływa na to, które pola obiektu `Outfit` są serializowane/deserializowane (np. `GamePlayerMounts`)."
luavaluecasts_client.cpp,luavaluecasts_client.h,Deklaracje tych funkcji.
mapview.cpp,game.h,Dostęp do `g_game` w celu pobrania lokalnego gracza i sprawdzenia funkcji serwera.
mapview.cpp,lightview.h,Tworzy i zarządza obiektem `LightView` do renderowania oświetlenia.
mapview.cpp,framework/graphics/framebuffermanager.h,Używa buforów ramki do optymalizacji renderowania.
mapview.h,declarations.h,"Definicje typów (`Position`, `CreaturePtr`)."
mapview.h,lightview.h,Używa `LightView` do rysowania świateł.
mapview.h,framework/luaengine/luaobject.h,Dziedziczy z `LuaObject`.
minimap.h,declarations.h,Definicje typów.
minimap.h,tile.h,`updateTile` pobiera dane z obiektu `Tile`.
missile.cpp,map.h,Używa `g_map` do usunięcia pocisku po zakończeniu lotu.
missile.cpp,spritemanager.h,Używa `g_sprites.spriteSize()` do skalowania przesunięcia.
missile.cpp,framework/core/eventdispatcher.h,Używa `g_dispatcher` do planowania usunięcia.
missile.h,thing.h,Klasa bazowa.
missile.h,framework/core/timer.h,Używa `Timer` do animacji ruchu.
outfit.cpp,game.h,"Sprawdza, które `GameFeature` są aktywne, aby decydować, które elementy ubioru rysować (np. wierzchowce, skrzydła)."
outfit.cpp,thingtypemanager.h,"Używa `g_things` do pobierania `ThingType` dla ubioru, wierzchowca, skrzydeł, aury."
outfit.cpp,spritemanager.h,Używa `g_sprites` do skalowania i pozycjonowania.
outfit.cpp,framework/graphics/drawqueue.h,Dodaje niestandardowe elementy do kolejki rysowania.
outfit.cpp,framework/graphics/shadermanager.h,Zarządza i używa shaderów do kolorowania i efektów.
outfit.h,thingtypemanager.h,Używa `ThingCategory` i `ThingType`.
outfit.h,framework/graphics/drawqueue.h,Dziedziczą z `DrawQueueItemTexturedRect`.
player.cpp,player.h,Plik nagłówkowy dla tej implementacji.
player.h,creature.h,Klasa bazowa.
protocolcodes.cpp,protocolcodes.h,Deklaracje funkcji i enumów.
