file,summary
const.h,"Plik `const.h` pełni rolę centralnego repozytorium dla stałych, makr i typów wyliczeniowych (enum) używanych w całym frameworku. Definiuje on kluczowe wartości, takie jak kody klawiszy, poziomy logowania, flagi wyrównania, przyciski myszy, a także stałe matematyczne i makra kompilacji. Jest to fundamentalny plik nagłówkowy, który zapewnia spójność i czytelność kodu poprzez zdefiniowanie nazwanych stałych zamiast ""magicznych liczb""."
CMakeLists.txt,"Plik `CMakeLists.txt` jest głównym skryptem konfiguracyjnym dla systemu budowania CMake. Jego rolą jest zdefiniowanie, jak projekt `otclient` ma być kompilowany. Określa on flagi kompilatora, zależności od bibliotek zewnętrznych, listę plików źródłowych oraz opcje konfiguracyjne, które pozwalają dostosować proces budowania do różnych platform (Windows, Linux, Apple, WebAssembly) i potrzeb (np. włączenie/wyłączenie obsługi dźwięku, grafiki, sieci)."
global.h,"Plik `global.h` jest jednym z kluczowych plików nagłówkowych w frameworku. Jego głównym zadaniem jest włączenie najważniejszych, globalnie używanych definicji i nagłówków w jednym miejscu. Dzięki temu inne pliki mogą dołączyć tylko ten jeden plik, aby uzyskać dostęp do podstawowych typów danych, stałych, makr i narzędzi."
pch.h,"`pch.h` (Precompiled Header) to plik nagłówkowy, którego celem jest przyspieszenie procesu kompilacji. Zawiera on dyrektywy `#include` dla nagłówków, które są często używane w całym projekcie, ale rzadko się zmieniają. Kompilator może wstępnie przetworzyć ten plik i zapisać jego stan, co pozwala na ponowne wykorzystanie go podczas kompilacji innych plików źródłowych, zamiast parsować te same nagłówki wielokrotnie."
luafunctions.cpp,"Plik `luafunctions.cpp` implementuje metodę `Application::registerLuaFunctions()`, która jest kluczowym elementem integracji silnika C++ z Lua. Funkcja ta jest odpowiedzialna za zarejestrowanie (zbindowanie) klas, funkcji i obiektów singletonowych z C++ w globalnym środowisku Lua. Dzięki temu skrypty Lua mogą wywoływać funkcje C++, tworzyć obiekty C++ (np. widgety UI) i manipulować nimi, co stanowi podstawę modularności i rozszerzalności klienta."
resourcemanager.h,"Plik `resourcemanager.h` deklaruje klasę `ResourceManager`, która jest singletonem (`g_resources`) odpowiedzialnym za zarządzanie wszystkimi zasobami plików w aplikacji. Abstrakcjonuje dostęp do plików, umożliwiając ich odczyt zarówno z fizycznego systemu plików, jak i z wirtualnych archiwów (np. `data.zip`) lub nawet z pamięci (dane wbudowane w plik wykonywalny). Jest to kluczowy element, który umożliwia łatwe zarządzanie zasobami gry, takimi jak grafiki, dźwięki, skrypty i pliki konfiguracyjne."
adaptiverenderer.cpp,"Plik `adaptiverenderer.cpp` zawiera implementację klasy `AdaptiveRenderer`, która jest odpowiedzialna za dynamiczne dostosowywanie jakości i wydajności renderowania grafiki w zależności od aktualnej liczby klatek na sekundę (FPS). Celem tego mechanizmu jest utrzymanie płynności działania aplikacji, zwłaszcza na słabszych komputerach, poprzez redukcję liczby renderowanych obiektów lub obniżenie częstotliwości aktualizacji, gdy FPS spada."
adaptiverenderer.h,"Plik `adaptiverenderer.h` jest plikiem nagłówkowym dla klasy `AdaptiveRenderer`. Deklaruje on interfejs tej klasy, stałe oraz globalną instancję `g_adaptiveRenderer`. Umożliwia to innym częściom systemu odpytywanie o aktualne limity i ustawienia wydajności renderowania."
application.cpp,"Plik `application.cpp` zawiera implementację klasy `Application`, która jest bazową klasą dla całej aplikacji. Odpowiada za podstawowy cykl życia programu, w tym inicjalizację, de-inicjalizację, obsługę sygnałów systemowych oraz zarządzanie głównymi komponentami frameworka, takimi jak menedżer zasobów, menedżer modułów, silnik Lua i połączenia sieciowe."
application.h,"Plik `application.h` jest plikiem nagłówkowym dla klasy `Application`. Deklaruje on interfejs tej klasy, jej składowe oraz zawiera dyrektywy dołączające jedną z dwóch możliwych implementacji aplikacji: `GraphicalApplication` lub `ConsoleApplication`, w zależności od tego, czy zdefiniowano flagę `FW_GRAPHICS`."
asyncdispatcher.h,"Plik `asyncdispatcher.h` deklaruje klasę `AsyncDispatcher`, która zarządza pulą wątków roboczych do wykonywania zadań asynchronicznie. Jest to kluczowy komponent do odciążenia głównego wątku aplikacji (wątku zdarzeń) z operacji, które mogą zająć dużo czasu, takich jak operacje wejścia/wyjścia na plikach, zapytania sieciowe czy intensywne obliczenia."
binarytree.cpp,"Plik `binarytree.cpp` zawiera implementację klas `BinaryTree` i `OutputBinaryTree`. Te klasy służą do odczytu i zapisu danych w niestandardowym, hierarchicznym formacie binarnym, który przypomina drzewo. Format ten jest używany w kliencie Tibii do przechowywania danych, np. plików map (`.otbm`)."
asyncdispatcher.cpp,"Plik `asyncdispatcher.cpp` zawiera implementację klasy `AsyncDispatcher`, która zarządza asynchronicznym wykonywaniem zadań w tle. Jest to realizacja mechanizmu puli wątków, który pozwala na odciążenie głównego wątku aplikacji."
clock.h,"Plik `clock.h` deklaruje klasę `Clock`, która jest singletonem (`g_clock`) odpowiedzialnym za zarządzanie czasem w aplikacji. Zapewnia buforowany, spójny czas dla jednej klatki oraz dostęp do ""rzeczywistego"" czasu systemowego."
binarytree.h,"Plik `binarytree.h` deklaruje interfejsy dla klas `BinaryTree` i `OutputBinaryTree`. Klasy te służą do obsługi niestandardowego, hierarchicznego formatu binarnego, używanego do serializacji danych w strukturze drzewa. Format ten jest charakterystyczny dla plików `.otbm` (OTClient Binary Map)."
config.cpp,"Plik `config.cpp` zawiera implementację klasy `Config`, która jest opakowaniem na dokument OTML (`OTMLDocument`). Służy do zarządzania pojedynczym plikiem konfiguracyjnym, umożliwiając łatwy odczyt, zapis i modyfikację wartości w formacie `key-value` oraz bardziej złożonych struktur zagnieżdżonych."
configmanager.cpp,"Plik `configmanager.cpp` zawiera implementację klasy `ConfigManager`, która jest singletonem (`g_configs`) służącym do zarządzania wieloma plikami konfiguracyjnymi (`Config`) w aplikacji. Umożliwia ładowanie, tworzenie, pobieranie i zwalnianie konfiguracji na żądanie."
configmanager.h,"Plik `configmanager.h` deklaruje interfejs klasy `ConfigManager`, która pełni rolę centralnego menedżera plików konfiguracyjnych w formacie OTML. Umożliwia zarządzanie cyklem życia wielu obiektów `Config`, w tym ich ładowanie, tworzenie i zwalnianie."
